,Name,Symbol
248,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,AGNCN
249,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCO
250,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,AGNCP
251,Assured Guaranty Ltd. Common Stock,AGO
252,Avangrid Inc. Common Stock,AGR
253,AgriFORCE  Growing Systems Ltd. Common Shares,AGRI
254,AgriFORCE  Growing Systems Ltd. Warrant,AGRIW
255,Adecoagro S.A. Common Shares,AGRO
256,Agile Therapeutics Inc. Common Stock,AGRX
257,PlayAGS Inc. Common Stock,AGS
258,Applied Genetic Technologies Corporation Common Stock,AGTC
259,Agiliti Inc. Common Stock,AGTI
260,Argan Inc. Common Stock,AGX
261,Agilysys Inc. Common Stock (DE),AGYS
262,AdaptHealth Corp. Common Stock,AHCO
263,Akso Health Group ADS,AHG
264,Armada Hoffler Properties Inc. Common Stock,AHH
265,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,AHH^A
266,Advanced Human Imaging Limited. American Depositary Shares,AHI
267,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,AHL^C
268,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,AHL^D
269,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,AHL^E
270,Avista Public Acquisition Corp. II Class A Ordinary Shares,AHPA
271,Avista Public Acquisition Corp. II Unit,AHPAU
272,Avista Public Acquisition Corp. II Warrant,AHPAW
273,Allied Healthcare Products Inc. Common Stock,AHPI
274,Ahren Acquisition Corp. Class A Ordinary Shares,AHRN
275,Ahren Acquisition Corp. Warrants,AHRNW
276,Ashford Hospitality Trust Inc Common Stock,AHT
277,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,AHT^D
278,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,AHT^F
279,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,AHT^G
280,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,AHT^H
281,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,AHT^I
282,C3.ai Inc. Class A Common Stock,AI
